小精灵	1	0	0	0	1	1	0	0	0	0	0
闪金镇步兵	1	0	0	1	1	2	1	0	0	0	0
鱼人袭击者	1	0	0	1	2	1	0	0	0	0	0
石牙野猪	1	0	0	1	1	1	0	0	1	0	0
幼龙鹰	1	0	0	1	1	1	0	0	0	1	0
银色侍从	1	0	0	1	1	1	0	0	0	0	1
狼人渗透者	1	0	0	1	2	1	0	1	0	0	0
持盾卫士	1	0	0	1	0	4	1	0	0	0	0
淡水鳄	1	0	0	2	2	3	0	0	0	0	0
霜狼步兵	1	0	0	2	2	2	1	0	0	0	0
血沼迅猛龙	1	0	0	2	3	2	0	0	0	0	0
蓝鳃战士	1	0	0	2	2	1	0	0	1	0	0
岩浆暴怒者	1	0	0	3	5	1	0	0	0	0	0
狼骑兵	1	0	0	3	3	1	0	0	1	0	0
铁鬃灰熊	1	0	0	3	3	3	1	0	0	0	0
银背族长	1	0	0	3	1	4	1	0	0	0	0
丛林猎豹	1	0	0	3	4	2	0	1	0	0	0
血色十字军战士	1	0	0	3	3	1	0	0	0	0	1
萨尔玛先知	1	0	0	3	2	3	0	0	0	1	0
绿洲钳嘴龟	1	0	0	4	2	7	0	0	0	0	0
暴风城骑士	1	0	0	4	2	5	0	0	1	0	0
森金持盾卫士	1	0	0	4	3	5	1	0	0	0	0
冰风雪人	1	0	0	4	4	5	0	0	0	0	0
银月城卫兵	1	0	0	4	3	3	0	0	0	0	1
魔古山守望者	1	0	0	4	1	7	1	0	0	0	0
藏宝海湾保镖	1	0	0	5	5	4	1	0	0	0	0
沼泽爬行者	1	0	0	5	3	6	1	0	0	0	0
荆棘谷猛虎	1	0	0	5	5	5	0	1	0	0	0
竞技场主宰	1	0	0	6	6	5	1	0	0	0	0
石拳食人魔	1	0	0	6	6	7	0	0	0	0	0
鲁莽火箭兵	1	0	0	6	5	2	0	0	1	0	0
烈日行者	1	0	0	6	4	5	1	0	0	0	1
风怒鹰身人	1	0	0	6	4	5	0	0	0	1	0
银色指挥官	1	0	0	6	4	2	0	0	1	0	1
作战傀儡	1	0	0	7	7	7	0	0	0	0	0
熔火恶犬	1	0	0	7	9	5	0	0	0	0	0
拉文霍德刺客	1	0	0	7	7	5	0	1	0	0	0
埃隆巴克保护者	1	1	0	8	8	8	1	0	0	0	0
暴龙王克鲁什	1	2	1	9	8	8	0	0	1	0	0
风领主奥拉基尔	1	7	1	8	3	5	1	0	1	1	1
虚空行者	1	8	0	1	1	3	1	0	0	0	0
库卡隆精英卫士	1	9	0	4	4	3	0	0	1	0	0
